Minisector,VER,MAG,Fastest
0,270.5256615556303,268.5630695836867,VER
1,240.80448319117713,248.8573625509957,MAG
2,121.73127766845856,119.4360265614255,VER
3,168.2604899474475,172.35176190994386,MAG
4,204.7560330541714,191.50049286384237,VER
5,197.10965954099234,190.9516431068033,VER
6,266.68534974107996,264.8462335498039,VER
7,285.70817600842105,285.5073937746032,VER
8,244.5014225482581,230.3927179379965,VER
9,147.40556528519554,143.21480934746438,VER
10,108.50709242257278,110.22221471736381,MAG
11,149.0236579083833,149.26522053867558,MAG
12,245.1244131326407,242.0131939328883,VER
13,152.44429125265125,154.65474512184332,MAG
14,148.7143302262735,143.36890684931217,VER
15,111.74649203222923,108.0443232134401,VER
16,215.41962198349205,212.0565282046754,VER
17,241.89587724813427,242.6866703078788,MAG
18,127.21624541598811,124.55650527977282,VER
19,241.53266784878798,236.24630593559118,VER
20,274.43593232761907,272.90490355116884,VER
21,199.42178575581605,211.15375850271985,MAG
22,143.6141198010582,135.76929129625609,VER
23,220.54638967883602,210.83062801788924,VER
24,227.14213248,218.02115872463767,VER
25,252.6760084089238,253.74666837333334,MAG
