Minisector,HUL,ALO,Fastest
0,277.1268766043408,275.75056561834214,HUL
1,295.04437982545403,298.0542425409862,ALO
2,292.96572778013984,294.7155440291536,ALO
3,182.70111346352897,166.11476183873037,HUL
4,123.78592781572542,124.82214152436441,ALO
5,237.48412916531322,237.12388427266245,HUL
6,280.0013294608677,280.9582671162808,ALO
7,292.0496118949552,291.02475431233694,HUL
8,182.62905903970346,179.8036869641667,HUL
9,148.7549876829743,146.2960939595082,HUL
10,252.18570188772446,253.89750604208692,ALO
11,289.3687777699471,290.99094435643894,ALO
12,298.71218644704936,296.75256873784457,HUL
13,281.7190674613564,287.40792847472846,ALO
14,297.7841678708855,297.59864072852605,HUL
15,303.1805167877214,298.5309078091817,HUL
16,253.52873040192495,253.2997693396825,HUL
17,227.14423686172304,234.7569352903533,ALO
18,274.08997457264616,278.59511861333334,ALO
19,295.99552613117413,298.1619900878767,ALO
20,298.9394500251852,295.9386696222222,HUL
21,242.79518445924467,239.95104775245503,HUL
22,264.09500054028985,264.4386282800762,ALO
23,137.92973422618837,142.02382660100275,ALO
24,218.26274748124357,224.12099415818594,ALO
25,254.0,,HUL
