Minisector,STR,RIC,Fastest
0,273.11824626785017,277.2655184965079,RIC
1,111.8508556330629,112.91336336225862,RIC
2,158.01597116300687,157.58784763265308,STR
3,207.24954063641388,219.03172109047173,RIC
4,151.30111453856208,154.98421997848615,RIC
5,239.83702935188407,239.076768188486,STR
6,203.6518092021134,219.04262913777777,RIC
7,118.78988989851551,127.31295876694743,RIC
8,228.47500057076022,229.7033286245772,RIC
9,273.87213548696207,273.7024429868741,STR
10,289.28921693121697,272.3446493298413,STR
11,146.89405205202436,143.28564685763106,STR
12,222.54687206415457,220.86713292033477,STR
13,272.46999850978705,271.0002083766999,STR
14,265.2705952,262.38599788350876,STR
15,98.15464994305583,94.85488487027298,STR
16,212.50441943434345,223.357035147404,RIC
17,269.6855503749859,268.6621955598227,STR
18,290.17005664089277,289.9802069045191,STR
19,301.2609166613653,299.451519550028,STR
20,306.88204628913127,303.75135641481484,STR
21,287.80546218487393,280.55772689747744,STR
22,144.675918495832,141.54799079872936,STR
23,229.7261644135968,222.7055451932486,STR
24,273.64593276613755,268.78936125866664,STR
25,283.7875008,284.99545483636365,RIC
