Minisector,HAM,PIA,Fastest
0,290.7676129714157,281.4335195138087,HAM
1,142.71307690720099,142.34879750102286,HAM
2,213.46646181847353,222.62670408477726,PIA
3,269.9654063912827,284.67936577021095,PIA
4,314.77895230988685,313.0541581098044,HAM
5,305.05927091274054,301.5591080553177,HAM
6,144.6451734708136,149.8033751867376,PIA
7,250.96764236832865,226.68790373231295,HAM
8,116.72207867513133,106.43039517360397,HAM
9,155.48284248427873,181.37127584470073,PIA
10,275.51024684920907,280.7868692056223,PIA
11,300.6081435710071,297.9365544744137,HAM
12,241.59020249725745,187.72355823330153,HAM
13,156.5132837067872,189.0166202427636,PIA
14,272.22619854108757,283.55110878594684,PIA
15,312.17622378729897,313.0322649295238,PIA
16,325.0869314012041,325.7274461323513,PIA
17,335.85874976969694,333.23830172968206,HAM
18,339.4491567746032,333.85083325055086,HAM
19,333.63272643209956,327.6533126105699,HAM
20,204.7365589951148,170.80367057229492,HAM
21,164.1934743020068,192.1108747432676,PIA
22,278.73414292903885,284.86569751505766,PIA
23,313.5711780482504,314.62790917640575,PIA
24,323.579119001144,318.3168826869676,HAM
