Minisector,LEC,PER,Fastest
0,257.9211701399586,248.27018423807434,LEC
1,283.31500762358337,280.0900508444444,LEC
2,174.79948346204156,165.41127123566346,LEC
3,172.1850574034218,167.7844040838095,LEC
4,264.00414606062236,260.2394515032205,LEC
5,282.7841377888193,263.0539116698413,LEC
6,244.45890784217863,213.01449941319052,LEC
7,215.62475523407898,194.86076957978548,LEC
8,159.02418387467918,151.72379799622962,LEC
9,216.73712921192006,222.02654249876542,PER
10,276.764663812987,273.5026074340136,LEC
11,128.45385461094978,122.55601229441466,LEC
12,221.83917865533297,221.13079459886026,LEC
13,274.4092263293141,273.1678626336274,LEC
14,290.9589877180953,292.71805546666667,PER
15,297.54229168,299.07395927157575,PER
16,236.00117175466667,211.98505504263622,LEC
17,140.27999504517044,133.1332829449292,LEC
18,142.16842792583375,135.56205894952637,LEC
19,123.76357256135287,121.29681148519796,LEC
20,235.0133321447619,225.16460614798535,LEC
21,261.58653449758424,251.9420288463768,LEC
22,238.67083541333332,224.730555654321,LEC
23,221.1018799821821,206.30873036442011,LEC
24,146.6115016685714,145.1739185589785,LEC
25,224.20000000000002,,LEC
