Minisector,OCO,HAM,Fastest
0,305.78836298410437,312.3575115940741,HAM
1,189.7441202236553,192.2253825635222,HAM
2,113.21109201106499,107.9201540839137,OCO
3,198.50459162698414,194.53653941404838,OCO
4,255.89040554426504,255.87076424078103,OCO
5,282.87232665627704,285.21049409930157,HAM
6,298.3542602722078,301.75347544177106,HAM
7,243.08360703003626,230.92595277015474,OCO
8,141.7751215030303,141.38523933945018,OCO
9,224.43678790095237,225.53589249026146,HAM
10,267.8947028761905,270.4089209559808,HAM
11,234.71226546424242,237.2670012157899,HAM
12,175.31591434321268,174.32220537102222,OCO
13,108.5513973935951,103.63264456500724,OCO
14,105.56212576634027,104.5716091131541,OCO
15,149.6819592817316,139.17071177146448,OCO
16,105.41269984675415,110.74285377756749,HAM
17,205.18502533614267,201.83079130560827,OCO
18,154.89898414337662,145.84169929863526,OCO
19,147.15591029154584,151.68905629479602,HAM
20,237.73581776962405,244.07046115593906,HAM
21,270.3721640616785,275.8111180267668,HAM
22,289.7061454567003,297.5785378980392,HAM
23,299.6634069328254,309.66198773900265,HAM
24,304.37041971536956,315.2682737904762,HAM
