Minisector,HAM,BOT,Fastest
0,274.26428537142857,287.22437183673924,BOT
1,289.3131316553989,311.59523784873954,BOT
2,295.06870330225564,312.4605376627451,BOT
3,135.33060567204262,131.78668383420757,HAM
4,212.3399166991004,212.01502949600464,HAM
5,259.3373020952381,263.97618097513487,BOT
6,154.0298524540558,146.38990947030427,HAM
7,218.16564113118943,215.69516689066666,HAM
8,263.2765344229012,264.9554285139978,BOT
9,281.3319077754386,282.50621014984546,BOT
10,251.7219587792175,230.56141328695654,HAM
11,188.09984170740572,191.04974379005486,BOT
12,211.8683319917136,205.32080830074514,HAM
13,152.34909780180178,148.72524297020084,HAM
14,192.6537521584918,189.34941618233793,HAM
15,181.5396805727999,176.0784545403689,HAM
16,229.6961375082413,229.7678822095238,BOT
17,247.69438174290173,249.31199616853198,BOT
18,251.4609688743764,248.91560651131832,HAM
19,244.18966520335033,236.9733496607018,HAM
20,152.0396108549894,150.97253696426532,HAM
21,135.5043630709339,135.04886211113143,HAM
22,186.26315665806973,183.43536489195404,HAM
23,163.5737347931016,160.31096458499977,HAM
24,233.39195472171625,235.32554258550724,BOT
25,259.6124992,261.8333333333333,BOT
