Minisector,PIA,SAI,Fastest
0,273.68317104110974,268.12108772483367,PIA
1,300.8629564495051,290.93812821900286,PIA
2,307.33037567222,296.0400505643094,PIA
3,121.3977966293976,123.40817279793922,SAI
4,184.12427575134086,194.4870035315044,SAI
5,255.72135764649818,255.93540161056808,SAI
6,132.6365092053457,134.1076092593613,SAI
7,189.49516080328533,197.67557161716533,SAI
8,253.22198208435375,256.1004734699074,SAI
9,278.7325826913851,279.828187453929,SAI
10,231.10667858388214,229.83945065082548,PIA
11,164.0705433634938,175.06438180902114,SAI
12,185.01443074563377,188.87588021664033,SAI
13,143.86297157855884,143.60284512475786,PIA
14,171.68319991721043,179.1035509390077,SAI
15,160.9304902700748,156.97627489651512,PIA
16,208.58382834659523,205.99414285138417,PIA
17,233.626216301296,230.27243193768714,PIA
18,233.75703873177002,236.69834304429514,SAI
19,234.6409169066667,245.90885279581835,SAI
20,142.93864448685275,136.1938750136223,PIA
21,130.53439089048138,137.7674807487857,SAI
22,160.4645767161354,156.58240518169262,PIA
23,149.65166068690823,147.52033727020475,PIA
24,224.2182306649785,218.04493140561917,PIA
25,250.70909323636363,254.6140341872226,SAI
