Minisector,PIA,STR,Fastest
0,270.19363391252205,277.4108591586671,STR
1,289.07093603990927,307.09037680761907,STR
2,287.5798933665408,301.3835380027018,STR
3,125.73819060977404,118.21921359733939,PIA
4,195.75220567809524,205.72446146932657,STR
5,244.89065880987772,256.580104694026,STR
6,134.92659957370023,130.02270219588166,PIA
7,206.36040463492063,201.74925028799422,PIA
8,258.141256905732,254.7277870408653,PIA
9,277.39726690285715,274.88973246535943,PIA
10,230.39734885431636,227.95791396363637,PIA
11,169.51743257150858,171.90559906713196,STR
12,194.95821364033014,188.39900266552084,PIA
13,139.9134939770538,138.7404908977134,PIA
14,176.69847123249167,173.21303077310245,PIA
15,164.46411769412893,158.09571109866664,PIA
16,224.80748214744688,217.4257047349447,PIA
17,232.3546792807321,229.11725531601732,PIA
18,238.98258360571427,241.7972629057668,STR
19,227.06404070615372,213.92995518222222,PIA
20,145.93757553201536,147.4380685544248,STR
21,129.37055807468678,128.79362461980952,PIA
22,164.89383262375918,164.84901033824917,PIA
23,150.3204252822934,148.95389456447893,PIA
24,227.67103071935497,227.59517971878788,PIA
25,257.97499999999997,,PIA
