Minisector,VET,NOR,Fastest
0,291.9063623373494,288.95991560638214,VET
1,161.03539966996362,161.21035031819005,NOR
2,155.83020937614035,151.3591583230839,VET
3,228.09761843809522,231.1207415251504,NOR
4,285.5611278575569,283.357815347412,VET
5,288.4390257447741,276.80161079230317,VET
6,148.68650046071164,144.4548361355154,VET
7,146.85333638803988,145.84691774630392,VET
8,147.04718757056278,141.44129849227576,VET
9,190.01351073949175,196.4923891099975,NOR
10,132.47693982352976,128.91211220786548,VET
11,124.27699099203691,120.66648493340135,VET
12,167.90722513049204,175.83674189397445,NOR
13,269.44602169766233,268.5917721142089,VET
14,290.1608817388821,282.3845237995859,VET
15,151.66673243851469,151.30909793683048,VET
16,211.3942203526882,206.66893369000775,VET
17,177.1385509317614,182.2853888238494,NOR
18,272.9086799111111,274.5843682583851,NOR
19,294.73389990022673,293.17708315151515,VET
20,308.11467238095236,304.87984423509175,VET
21,315.62220707689846,311.1364582933333,VET
22,318.7167919799499,312.89246034285713,VET
23,319.91208330666666,315.12875002666664,VET
24,319.1317432932101,312.9630952126984,VET
25,317.6916672,,VET
