Minisector,BOT,ALB,Fastest
0,279.44184466285714,274.54157443500543,BOT
1,223.35998503366883,224.73142248253967,ALB
2,118.41569999195087,113.81660531097151,BOT
3,201.92637973919412,195.04874457245853,BOT
4,177.08501293697682,176.73219806190477,BOT
5,223.98586801587302,222.06060606060603,BOT
6,279.0992778580433,271.7523812010025,BOT
7,297.2196758518519,287.57747495137846,BOT
8,179.2824904634764,176.422811109063,BOT
9,129.04684638773304,127.0181641095076,BOT
10,139.54348335238095,134.57151787048562,BOT
11,201.68131449438474,198.46071439238094,BOT
12,213.61816686933332,216.41543359348952,ALB
13,136.16478594663226,131.029469239087,BOT
14,144.6059949196094,148.07864567854725,ALB
15,136.1834287857305,128.59601276043438,BOT
16,258.73848172550515,249.5471654893424,BOT
17,140.14462208977437,140.9684382547555,ALB
18,206.35019349319123,204.39750080000002,BOT
19,135.08437046093158,135.19946776714366,ALB
20,144.45999854898525,153.18113443588905,ALB
21,127.43728133636068,126.40032614695022,BOT
22,158.3332374560638,152.19560606386557,BOT
23,228.30711795555555,219.40061634885527,BOT
24,244.70693957877532,235.04702384761904,BOT
25,,261.55,ALB
