Minisector,LEC,ALB,Fastest
0,273.63360506896333,273.95173923942593,ALB
1,299.35026004086575,300.2049406552381,ALB
2,313.10221886058366,311.7335523646825,LEC
3,322.0975001884444,319.3948426505322,LEC
4,325.54702395646257,324.8205807397888,LEC
5,324.4665909697048,327.7874074074074,ALB
6,184.09583805938595,199.84091139513228,ALB
7,103.80161417814442,104.79811301648996,ALB
8,181.24917674026668,184.8191260892782,ALB
9,258.9766765792579,262.1291082459474,ALB
10,288.9026840407843,290.3679394899911,ALB
11,174.2477313006073,146.2867259209787,LEC
12,91.22739408333771,96.27513210454211,ALB
13,108.07080299831772,110.91574249253557,ALB
14,214.13773901588092,207.40979414334234,LEC
15,178.91205101136288,182.49005601467275,ALB
16,218.50290520618094,214.72905747610767,LEC
17,175.42094107133642,164.71620239344682,LEC
18,234.39678801283026,244.74614605427993,ALB
19,275.4440362066007,278.1617825038146,ALB
20,249.92297339221727,238.9105471512169,LEC
21,144.66920075988796,142.26915021180545,LEC
22,95.76626546231851,93.58360355094764,LEC
23,122.64272144629336,122.70952882521492,ALB
24,227.0468225511846,224.4644781211322,LEC
