Minisector,SAI,BOT,Fastest
0,279.66146274947107,275.69622650385963,SAI
1,119.11515848864153,112.38635654137317,SAI
2,159.75274521909702,159.27061351971327,SAI
3,207.66082066010054,195.8197901521049,SAI
4,156.13878479046798,153.40848206320533,SAI
5,243.83003249523813,237.83099171245146,SAI
6,206.70389105666817,194.0546277661304,SAI
7,132.8452332219901,129.06555769251082,SAI
8,230.4280302914732,240.73502844835164,BOT
9,275.6118601766824,280.1584675257143,BOT
10,286.10006868705887,282.2022595453968,SAI
11,145.1332673470283,139.36520448573333,SAI
12,214.09161116460274,217.8240674650505,BOT
13,265.8669907966387,264.8112568758396,SAI
14,261.14409411241115,257.94163959294536,SAI
15,101.34007903021013,98.74631402134607,SAI
16,217.0139142587942,219.18535526215297,BOT
17,272.08131208126986,271.15082073241314,SAI
18,299.3673211387013,302.83492258,BOT
19,315.97168969034016,320.0711483907483,BOT
20,323.61358827554307,329.59895028114437,BOT
21,273.0693764737471,301.5836279020408,BOT
22,148.05263083056929,140.96321700465987,SAI
23,234.8862974570001,231.74830713293872,SAI
24,281.6497174841751,280.74652218666665,SAI
25,,298.09375008,BOT
