Minisector,PER,LAW,Fastest
0,244.06300834690552,251.77510245260385,LAW
1,281.25199186463493,285.33186748088616,LAW
2,192.42798044940804,173.23426060393558,PER
3,147.23223799673187,142.17929653946362,PER
4,255.59912771493396,257.48038379282053,LAW
5,274.6145616563348,272.6552573440968,PER
6,241.0714524229308,237.92754031989418,PER
7,207.78288657607916,213.0073924127467,LAW
8,159.7465431028751,164.55474099728718,LAW
9,211.45273358058927,215.573942945791,LAW
10,268.56846320666665,268.22015591999997,PER
11,137.8699418410149,134.1954956862283,PER
12,205.51460904607083,201.30989310427034,PER
13,272.452110777947,272.87383699266775,LAW
14,296.3744286648575,296.3214234008889,PER
15,306.8057967541418,307.53575576419047,LAW
16,246.99575965714288,252.3882864596405,LAW
17,133.5770092975014,127.10753247878354,PER
18,125.98828890454774,130.10622758165704,LAW
19,120.36875553736654,117.41031015697776,PER
20,221.91555266859564,223.25584946285716,LAW
21,258.57495148227963,258.146798482963,PER
22,245.3281913171236,242.9946434413714,PER
23,218.5307418223244,218.26455032900506,PER
24,140.8225215040453,139.26010830451926,PER
25,,220.65714285714284,LAW
