Minisector,VER,BOR,Fastest
0,257.5419068265726,257.11207042527775,VER
1,132.86500023656606,131.71677699716247,VER
2,270.22532142774975,266.7933055235873,VER
3,309.5747940838278,306.8399531375089,VER
4,309.9160492311728,307.5352399208081,VER
5,317.653450074249,314.9478787927273,VER
6,322.3763634269008,320.1392380688254,VER
7,318.85659104,317.4502854834162,VER
8,206.2708572953148,211.08572383671236,BOR
9,204.73914922044554,197.84130789918646,VER
10,184.65118274296555,187.29285152526984,BOR
11,176.35901395212886,166.73838616031546,VER
12,258.292351927132,249.76573370544182,VER
13,283.00056924554116,275.02561078871196,VER
14,286.8080612244898,278.2867607200977,VER
15,272.7823228625985,278.0626184504434,BOR
16,173.19406797647588,175.22787852380344,BOR
17,197.8578282349059,202.20453495306512,BOR
18,248.97451844009154,242.41145046760835,VER
19,292.2569752849383,289.67880949333335,VER
20,311.75624755452037,309.07874897809813,VER
21,317.34112135314285,315.08565523014494,VER
22,315.7567376278293,313.6217285351619,VER
23,270.6989296058608,286.1386125075385,BOR
24,119.2939059912624,113.50314400360067,VER
25,,225.8187504,BOR
