Minisector,HAM,GAS,Fastest
0,312.7163030865485,306.29041849007626,HAM
1,326.6830529777998,313.3722544857143,HAM
2,310.4064212376181,305.44756932664995,HAM
3,176.49950369565786,183.15779507926555,GAS
4,212.39100460159236,213.73297296534443,GAS
5,196.90624633233784,194.2750220080022,HAM
6,178.29045204014926,177.92708535140807,HAM
7,203.66765604501035,206.17589535183427,GAS
8,252.81113014367165,253.12258874305252,GAS
9,249.4260278621645,248.70173845622529,HAM
10,170.20749879793783,171.4006473946903,GAS
11,233.8253416508706,231.9989819048081,HAM
12,123.12196082716854,120.66399147073754,HAM
13,237.36784693800615,236.83218761488936,HAM
14,276.723468381687,275.63446122221137,HAM
15,272.95986504357865,273.71936872242424,GAS
16,202.33322218003073,202.46055312875805,GAS
17,198.46591287496162,200.0809782706643,GAS
18,291.3126746433058,287.996551042384,HAM
19,326.61526745931496,317.4984032859504,HAM
20,328.03208014837094,316.60328795807214,HAM
21,301.8499239588572,295.3029896752762,HAM
22,251.4519918983286,254.27628475001904,GAS
23,124.83069739800716,125.67234446383893,GAS
24,246.56809147956045,251.52002298256411,GAS
25,284.8714313142857,,HAM
