Minisector,RIC,PER,Fastest
0,232.39772462222223,232.36324766117002,RIC
1,280.53756712281574,287.624910072397,PER
2,293.1590284204378,303.8773769070955,PER
3,295.5625000727273,307.08374992,PER
4,266.30168052529626,271.3220461777778,PER
5,177.73082959327732,167.7707564326332,RIC
6,258.2998838034116,262.80460266038256,PER
7,275.1056612753623,280.59558986666667,PER
8,225.79412362979204,204.03506467704418,RIC
9,217.59118430755558,220.5724823564626,PER
10,193.17470186961563,179.77060518661224,RIC
11,224.57190465693122,225.4984493442177,PER
12,209.53174125958796,195.70148531756567,RIC
13,216.84412995993432,208.94114385827677,RIC
14,225.1635975946778,221.03820542284714,RIC
15,187.27027021061656,176.26896134036124,RIC
16,247.82311877648698,252.27938180266668,PER
17,287.53031763301584,295.5735495183134,PER
18,303.3032196848485,312.5323623218045,PER
19,291.5667739082251,289.5638224847683,RIC
20,131.74666415965308,124.23823780027345,RIC
21,165.50575448958048,156.6473011467953,RIC
22,156.61397353962928,159.6649561296394,PER
23,207.98597629247314,192.89562487843136,RIC
24,148.2228210252227,145.32103148444574,RIC
