Minisector,VET,SAI,Fastest
0,279.6706956934336,274.28458615155984,VET
1,247.77306091376224,228.3173509802036,VET
2,115.52830572031478,115.87496584279553,SAI
3,188.71971629386198,190.28224360030646,SAI
4,184.45662260929674,173.43499664861713,VET
5,211.87487998250157,216.81788343780212,SAI
6,278.0395533826194,270.8715161851087,VET
7,295.6133606781784,286.99691645826584,VET
8,197.1575423892449,180.30791457738886,VET
9,130.65167576431094,129.44388453438282,VET
10,129.33973967400476,135.27413779586803,SAI
11,188.46699422567565,192.4117579715819,SAI
12,228.995156725092,221.52892547113987,VET
13,132.6959165199423,129.28588933470746,VET
14,161.21646555894876,156.16211451227463,VET
15,118.96343303743292,122.5203704182467,SAI
16,254.3361703889091,252.27134975507536,VET
17,151.72317308959452,145.1960081928482,VET
18,196.1445417362642,199.41907770178025,SAI
19,137.5323671854081,129.18027432759632,VET
20,155.11659345973533,150.30959123899083,VET
21,124.80216050606974,124.63582651367089,VET
22,139.5253438034067,146.65533000181006,SAI
23,217.31602605128208,216.82223737234702,VET
24,233.01373781560562,231.2066560654147,VET
25,264.2166656,,VET
