Minisector,RAI,VAN,Fastest
0,299.07618435741057,294.1003607652174,RAI
1,157.1066173424036,156.7695943556639,RAI
2,157.87976104126983,150.70517612972992,RAI
3,216.13901273629216,219.23029727422002,VAN
4,283.11979202424243,282.0891835221519,RAI
5,295.0141974668618,285.49848365714286,RAI
6,145.7584024462385,144.55192298007412,RAI
7,139.75593539448718,140.1063000796937,VAN
8,152.28689847887946,146.7861790340455,RAI
9,169.43433603084358,176.98933835431228,VAN
10,136.06053466230648,131.24794839324272,RAI
11,129.51287494568433,124.18447468095219,RAI
12,157.79074068142353,160.70200204832605,VAN
13,263.359417248,262.93236014413986,RAI
14,289.67585195151514,279.4801760861283,RAI
15,154.17336076285142,146.69960309276252,RAI
16,213.274633947995,207.41505462365592,RAI
17,159.6191866198843,158.4443469655292,RAI
18,264.79321342721215,265.69704015057744,VAN
19,287.22492864262057,287.5654765111322,VAN
20,299.5282564882507,298.1654759111111,RAI
21,306.5339568181406,306.1462080613129,RAI
22,310.32066326349207,311.82416656,VAN
23,313.9,314.64648520272107,VAN
24,310.81090861026433,312.3416667936508,VAN
25,311.0,,RAI
