Minisector,STR,ALO,Fastest
0,290.46477019083926,304.8043759254914,ALO
1,298.74204541090904,323.2429436052389,ALO
2,303.4564979326984,325.52647566666667,ALO
3,295.1833035009702,314.5704655215686,ALO
4,159.91549311731137,157.16337901424035,STR
5,208.62309530257863,203.8917700658585,STR
6,236.63583284977776,240.1947584512113,ALO
7,262.24208301087947,264.33988865336676,ALO
8,247.25906100538037,245.53839771015714,STR
9,157.21354401391758,155.8971787612165,STR
10,224.11091690946913,220.63211237417826,STR
11,125.34333884937386,125.08431101690005,STR
12,224.0210658725898,227.33274970198832,ALO
13,171.7236897582631,177.3883333726364,ALO
14,216.6477477179209,213.69360934338164,STR
15,238.0077886002886,236.47998461832756,STR
16,258.6229023670387,263.71315889964916,ALO
17,281.26463583386317,293.15110145777777,ALO
18,149.80381819864965,151.23691886186361,ALO
19,160.27320310379025,161.88915324217572,ALO
20,137.02613310484273,137.294790381244,ALO
21,224.11849884997383,231.18392897311878,ALO
22,261.04306613494043,259.4307592426399,STR
23,250.14970332577477,247.59922925133785,STR
24,272.74003378666015,277.7534546566845,ALO
