Minisector,NOR,STR,Fastest
0,277.5682737350702,268.6990068191893,NOR
1,303.2016110806719,288.81747719241616,NOR
2,307.6245595840822,296.4671224746032,NOR
3,120.26132234733063,121.07985538129036,STR
4,194.13684242504203,192.83821595482019,NOR
5,252.1085116874283,252.00182205490972,NOR
6,133.22375757164465,132.91036332844226,NOR
7,200.11479778290956,195.80553415457615,NOR
8,257.87416048589404,255.1511582498087,NOR
9,281.46114481347814,280.9426708174043,NOR
10,228.87963054779897,225.3497311004363,NOR
11,173.5382780676646,169.92763711468663,NOR
12,191.32826395497958,180.09485313316955,NOR
13,138.88247297473353,144.1981423373069,STR
14,171.5304006449992,171.101148182799,NOR
15,159.58300547133902,155.37992093307938,NOR
16,216.4196346967366,212.27939403834142,NOR
17,234.48553537765096,231.29023633645517,NOR
18,239.85383572906244,233.65419982453514,NOR
19,224.81199580534346,228.30590170589053,STR
20,142.33755185112992,141.43000932541244,NOR
21,125.67178655053655,126.61639928612027,STR
22,168.6069601365894,168.6885757590548,STR
23,151.6505574029861,143.62480411159535,NOR
24,227.24588875316417,219.2302996554714,NOR
25,,251.25000106666667,STR
