Minisector,PER,GAS,Fastest
0,290.9402737735818,303.78541613534566,GAS
1,301.73105250807015,322.30316272064726,GAS
2,275.67997778986665,301.2373884857143,GAS
3,107.7494541937983,110.89066045188831,GAS
4,216.69337406258504,216.88706686536744,GAS
5,267.57986194511267,272.1445567434113,GAS
6,202.09279251857143,209.25152538927338,GAS
7,164.47619834208513,156.99489184956116,PER
8,204.81940626880674,210.90300721435744,GAS
9,203.37418172298348,216.32619740036324,GAS
10,114.79364700512537,120.37678880343188,GAS
11,227.7745621937577,221.4652508997531,PER
12,118.23913087954558,125.004159724527,GAS
13,221.75652198420966,213.2678201937089,PER
14,271.3266418389625,264.4575484675325,PER
15,212.95378647352274,219.57564068820272,GAS
16,192.36979971599524,187.61367739022222,PER
17,239.3062275322864,245.83606580402724,GAS
18,192.4161547869264,201.529054432,GAS
19,186.12286866235323,181.4328941517631,PER
20,263.6504424640542,260.33968928198755,PER
21,288.4368836949281,285.29358571959597,PER
22,167.84367734590475,166.6180382239923,PER
23,204.04043939684658,203.19103463296145,PER
24,270.25309365439153,268.6657474124868,PER
25,284.16,282.8388892444445,PER
