Minisector,NOR,PIA,Fastest
0,295.7256677401058,294.50059119238097,NOR
1,302.96899558136323,300.8542238857143,NOR
2,209.40422784945687,218.42486077660135,PIA
3,132.76641060057977,142.43116125300682,PIA
4,218.98689124363636,219.8044772129443,PIA
5,165.42857323177032,164.22795477121693,NOR
6,170.23739737904762,169.8363388163041,NOR
7,248.17548141188763,250.37842118736842,PIA
8,277.833567398254,277.32213215596636,NOR
9,287.08136888380955,285.64643786039215,NOR
10,261.66216065885266,264.5476601541736,PIA
11,240.8790772,236.5718618783151,NOR
12,242.87189533778943,240.05257543090318,NOR
13,210.69012722782608,208.16335243384515,NOR
14,126.78980558389115,133.92553077925925,PIA
15,144.53081179456515,142.82030160813133,NOR
16,165.870821201297,166.7906474962963,PIA
17,250.38632845968255,246.41532301497526,NOR
18,251.80919494603177,255.17240441584076,PIA
19,116.01339640191387,117.20634217550386,PIA
20,182.14504036044343,184.70034049185185,PIA
21,203.4176090627087,201.96512240027525,NOR
22,230.0662861347939,227.09040360743762,NOR
23,271.5144921501086,260.92770495938424,NOR
24,294.4780614205291,281.1677444883958,NOR
25,305.11500032,289.7053568,NOR
