Minisector,HAM,GAS,Fastest
0,301.6355775344821,298.6203483140474,HAM
1,257.952850430279,251.2752169216159,HAM
2,203.4942081580194,199.82292435750992,HAM
3,269.39527286768856,268.130885230722,HAM
4,234.22765346554934,228.23640404574792,HAM
5,122.27322626939697,116.00348746142508,HAM
6,186.1317506497318,180.36728749863346,HAM
7,261.773497836351,257.39588159895294,HAM
8,292.15516898888916,285.6060099335749,HAM
9,304.05847492936545,299.00046803828866,HAM
10,309.4159798971263,305.19880934603174,HAM
11,231.7201893884114,233.2799417728233,GAS
12,148.86884089316766,144.86772266532665,HAM
13,260.5629515234795,257.9761641403297,HAM
14,292.6658526671684,289.55162088344304,HAM
15,303.8573768670496,299.3431613385587,HAM
16,301.4398245726005,297.2076784990476,HAM
17,271.8103033280222,263.6123067334754,HAM
18,194.58404147367148,185.62549239205453,HAM
19,196.38725529399667,193.65468774910553,HAM
20,190.26649674926836,181.475649194037,HAM
21,255.85679088821158,250.84103292416512,HAM
22,131.44491525075134,128.19726472601076,HAM
23,196.66006110110044,195.19999793478019,HAM
24,278.0728177682267,274.7174316821782,HAM
25,292.6916672,289.32916693333334,HAM
