Minisector,VET,BOT,Fastest
0,267.5128134790148,260.46958825253944,VET
1,129.48903428993637,127.97376075698023,VET
2,200.656002362292,199.7058418713599,VET
3,250.49417123220232,249.5677565681332,VET
4,264.2025578072658,261.11200323331275,VET
5,173.07805855700605,173.8250127719009,BOT
6,142.35569847796899,148.58009484201762,BOT
7,183.39871334419834,188.94708352435129,BOT
8,100.06488931323997,104.098997416168,BOT
9,72.93139594008987,73.43682820148234,BOT
10,93.73847195072713,95.18489328724894,BOT
11,182.8733216605777,186.22823158731606,BOT
12,248.06122401088436,248.1137978048852,BOT
13,271.26603503569635,273.19842151036636,BOT
14,282.6308991748247,286.2705907685698,BOT
15,117.21595383131825,118.1388824123364,BOT
16,142.61169641085024,144.35502842014236,BOT
17,181.31651829333333,187.14288683657304,BOT
18,197.69217585202875,199.57921093820758,BOT
19,200.03645363641857,215.5670904464856,BOT
20,129.64794721492981,139.6003677045988,BOT
21,109.5005810486907,117.93450498163014,BOT
22,94.82238950525048,92.19837111090257,VET
23,197.07777860045877,193.93248577570077,VET
24,253.20322454941004,250.20314508981735,VET
25,268.1666666666667,266.99444444444447,VET
