Minisector,PER,ALO,Fastest
0,322.7485512347826,319.57644961656314,PER
1,332.7957520969697,329.29829541818185,PER
2,336.68856100705545,328.28195738781335,PER
3,194.08396490094933,194.93752459666177,ALO
4,115.44310148218673,116.92105786668394,ALO
5,265.8776974586886,263.03095362721086,PER
6,304.48386384926175,299.7723960471336,PER
7,320.1615896266137,313.50510814236077,PER
8,275.4667317250168,285.4127362883989,ALO
9,137.49577418244232,138.09531700804976,ALO
10,217.2739895426178,218.74651612903116,ALO
11,209.7885450329181,205.39522684629435,PER
12,192.4159125542496,192.35435493832568,PER
13,268.25301576601044,262.860647545679,PER
14,305.94317717755746,302.3577037969968,PER
15,325.98369581449276,317.40688408115943,PER
16,264.16038487477954,256.98360674574707,PER
17,191.4283987926126,198.0117839221583,ALO
18,267.9380570771329,267.32025848700863,PER
19,307.82844504463725,303.00942187943866,PER
20,325.2063404057971,318.48026339774003,PER
21,310.87467195038084,301.44600706666665,PER
22,201.86821452190475,203.61879274666668,ALO
23,261.9857125447827,260.0686540920605,PER
24,304.16793437681156,300.30104133333333,PER
25,316.5916650666667,,PER
