Minisector,BOT,GRO,Fastest
0,273.5326657040866,268.888571925677,BOT
1,293.8111174343947,287.5917599551348,BOT
2,301.9672615372541,295.7709280886026,BOT
3,128.27495768674734,132.30248493316194,GRO
4,190.98346329011926,190.18136676636152,BOT
5,257.5018763857798,256.08018347667326,BOT
6,139.74321525199025,143.8267539431825,GRO
7,201.2660099011084,195.4329510068529,BOT
8,260.17454429822294,256.75372076422053,BOT
9,281.64108699440396,280.25969265905394,BOT
10,222.51224401731858,228.84420253267325,GRO
11,175.00527887302644,180.60428742778203,GRO
12,184.5013606650815,179.4133403632885,BOT
13,143.8552159682135,145.54080101558648,GRO
14,176.92309226360874,168.98276131234942,BOT
15,158.79249933077026,153.89865141899807,BOT
16,214.52450709575098,205.01225224876197,BOT
17,234.59076679792187,230.0450785672086,BOT
18,238.63084571268965,225.96160832385885,BOT
19,237.86715812550642,252.41902653400558,GRO
20,143.2400505400433,138.4863327487501,BOT
21,132.5608153774448,140.65536332921613,GRO
22,164.41362726667208,156.92009819465582,BOT
23,147.18754268587853,144.66996358581287,BOT
24,226.7008974750275,219.93129212714032,BOT
25,256.25,254.67708266666668,BOT
