Minisector,VER,VET,Fastest
0,296.3139273414588,302.7381943111111,VET
1,286.53168559720893,287.3249520395986,VET
2,185.15905208828434,172.45783527414153,VER
3,212.5828717196215,199.17848409339734,VER
4,226.6097367082061,228.17919007122893,VET
5,267.501999744,269.26084461751805,VET
6,241.66626470127233,227.04944618666667,VER
7,218.7329439681567,202.1585809857583,VER
8,176.55076389523714,159.23724088544134,VER
9,181.6724619168234,180.6013041142857,VER
10,195.23862352623294,179.71922805469515,VER
11,214.11439306285214,208.66743951788894,VER
12,254.80153205365397,234.28019917864378,VER
13,177.10077683810957,169.4289340606675,VER
14,247.07300713863225,249.18245037601412,VET
15,274.9842579748416,274.8885366933998,VER
16,275.6021791527204,263.7149255991394,VER
17,273.0976449391304,255.06226982904997,VER
18,264.26997808992627,249.65154275555557,VER
19,256.55024290652557,248.27569951788408,VER
20,264.8814063370069,262.29285392575457,VER
21,204.93060147099132,191.3428801710716,VER
22,225.7738989043119,224.28655685793777,VER
23,274.46949973333335,277.236719595427,VET
24,285.2581521623188,295.2901228017458,VET
25,286.0,300.0,VET
