Minisector,RUS,HAM,Fastest
0,262.69757360793653,258.8193100741501,RUS
1,135.96836787736305,132.50248783238095,RUS
2,202.61573164431078,200.69580179188713,RUS
3,247.98272033946205,248.66071684832136,HAM
4,261.58275646271585,259.7309927292517,RUS
5,179.8758418989899,179.23343691809524,RUS
6,145.28078313071194,147.0212017652355,HAM
7,188.7313473046043,191.55926589575756,HAM
8,103.3964941618011,101.76931403771928,RUS
9,75.08495475732835,76.42673029938219,HAM
10,98.01724269198928,96.07532312525939,RUS
11,185.7596514934244,186.89788053650892,HAM
12,247.37414729650794,251.06795807392606,HAM
13,270.29441986666666,272.21246072250966,HAM
14,283.0332418813187,285.1180451842177,HAM
15,110.60451682993047,126.23605966372853,HAM
16,142.22421614572994,143.6164344258746,HAM
17,199.5921865777778,192.0987383179832,RUS
18,189.7386366790482,199.87294272260596,HAM
19,214.35076907629073,223.07426449781053,HAM
20,136.11109656091955,135.817895485291,RUS
21,102.12174085503034,120.3314082172523,HAM
22,97.57023621635427,95.34315319325964,RUS
23,198.8598583041847,193.74400307844155,RUS
24,252.4366037342857,250.18705833014005,RUS
25,266.32500000000005,267.04285622857145,HAM
