Minisector,OCO,GIO,Fastest
0,300.00987658271606,298.9727167285245,OCO
1,239.21403236017315,238.57732069767937,OCO
2,130.74660131781877,133.01519886937263,GIO
3,235.61884802288395,241.13642419445046,GIO
4,193.53536355555556,184.53184903861782,OCO
5,250.309479752694,242.22343773333333,OCO
6,234.54966301525633,228.47534829200734,OCO
7,259.3764072636518,251.86799277910904,OCO
8,283.4247598237883,286.06862880902344,GIO
9,209.39528994190346,212.3139300814436,GIO
10,205.56907508795135,202.26733999170932,OCO
11,265.6110517079365,270.6021265959184,GIO
12,217.67831280850547,210.6567552288288,OCO
13,249.4768464927106,244.71330854666667,OCO
14,288.54249367190755,284.32571037069596,OCO
15,299.49666666666667,298.0414001610751,OCO
16,295.07100723230036,302.81683327999997,GIO
17,246.41692676666668,230.10842541846864,OCO
18,269.55058773350834,261.0803170574713,OCO
19,294.94727573333336,288.7102038386443,OCO
20,300.4004998826667,301.543518854321,GIO
21,292.5429328122649,304.35618754713875,GIO
22,153.41954437039954,157.38754645830906,GIO
23,234.53916253067604,225.98348440363557,OCO
24,284.3407071472698,282.3619716345679,OCO
25,,295.85572142471716,GIO
