Minisector,LEC,PIA,Fastest
0,299.6785267502607,300.41137398382165,PIA
1,191.4673744987434,192.41733093576488,PIA
2,218.3372641270405,227.07681268244977,PIA
3,273.28464599801055,273.82440739347317,PIA
4,240.9871464393651,220.75164724496548,LEC
5,123.9921341288144,129.45285682207566,PIA
6,200.16186098688328,212.001045142771,PIA
7,246.2657702323946,251.9702992451359,PIA
8,226.40260147421392,236.83242333768874,PIA
9,230.12899788877988,230.579364572456,PIA
10,276.46314687844495,274.63949385111624,LEC
11,294.4610682060062,289.52621877402424,LEC
12,299.4088613107678,294.7017717990147,LEC
13,302.1885607127273,297.31436143663285,LEC
14,303.9789114741703,296.9858079094853,LEC
15,236.73026298721973,243.6765255812306,PIA
16,222.9529066054327,236.1182183378232,PIA
17,270.4770597729413,274.47250595238097,PIA
18,289.05256663608117,286.2760287990193,LEC
19,132.04358214845755,156.2463433991787,PIA
20,188.53076225578286,212.83915869876435,PIA
21,148.81824140758565,159.21014004797044,PIA
22,138.11651170905373,142.3897744567901,PIA
23,245.70361482033007,244.2970879426156,LEC
24,296.8432476018165,284.75984201263094,LEC
25,311.0857142857143,,LEC
