Minisector,PER,PIA,Fastest
0,291.79608396642215,294.50059119238097,PIA
1,299.1812919744538,300.8542238857143,PIA
2,217.97603740661728,218.42486077660135,PIA
3,140.47478535483629,142.43116125300682,PIA
4,219.3241519052237,219.8044772129443,PIA
5,161.76317054256694,164.22795477121693,PIA
6,169.2035304816357,169.8363388163041,PIA
7,252.33748954138647,250.37842118736842,PER
8,277.53760565122445,277.32213215596636,PER
9,285.31812507123806,285.64643786039215,PIA
10,275.8085478577857,264.5476601541736,PER
11,243.56923076923078,236.5718618783151,PER
12,244.13633871390476,240.05257543090318,PER
13,215.3898460777022,210.1766658504348,PER
14,131.66743083455503,134.68043924069235,PIA
15,143.1311554399428,142.82030160813133,PER
16,170.97014448956133,166.7906474962963,PER
17,242.54541687810124,246.41532301497526,PIA
18,236.6835086677376,255.17240441584076,PIA
19,113.45713356374958,117.20634217550386,PIA
20,190.08799038308848,184.70034049185185,PER
21,198.98785884381826,201.96512240027525,PIA
22,231.81033807788452,227.09040360743762,PER
23,261.4402628778625,260.92770495938424,PER
24,279.84358473724114,281.1677444883958,PIA
25,,289.7053568,PIA
