Minisector,LEC,HAM,Fastest
0,262.32087237756616,257.5231736068376,LEC
1,138.9479312019986,136.80631336410258,LEC
2,209.02303761568626,207.2903887409414,LEC
3,246.11569408,247.05984716408165,HAM
4,262.02767862857144,256.15897354497355,LEC
5,185.6594126167726,177.63528481370594,LEC
6,150.84547776284444,154.1698674245614,HAM
7,188.83888750768165,187.69368373593863,LEC
8,107.22384905052607,101.6229058313906,LEC
9,72.87399600925689,72.31380041266661,LEC
10,97.87944471855202,99.49538194437407,HAM
11,188.4367531041666,190.45408042160847,HAM
12,245.15230601910142,247.45168314923276,HAM
13,267.8330948495238,269.2372400969697,HAM
14,278.2319598065934,274.3372222222222,LEC
15,107.37423197174449,111.31114015852637,HAM
16,158.95016494574904,158.82737019947027,LEC
17,191.87739541809336,188.9328871351082,LEC
18,205.63221768973546,205.08270233426703,LEC
19,220.93432529837534,215.966997552461,LEC
20,141.87544680317018,139.05768329374305,LEC
21,108.99187526636364,119.55570362818166,HAM
22,101.88320769278819,100.14919615943563,LEC
23,190.85127374486217,199.84060098387226,HAM
24,251.32992007111113,250.97472021640462,LEC
25,,265.6250016,HAM
