Minisector,PER,RIC,Fastest
0,288.82853308071583,297.20181457414964,RIC
1,298.4291073142857,309.007957437594,RIC
2,304.0013157614035,313.5962718877193,RIC
3,304.4677628631579,304.01491098947366,PER
4,186.168700079291,166.89390523708423,PER
5,215.18218406672534,209.94135909135804,PER
6,237.50316706133333,230.1674447856945,PER
7,265.5432805437317,266.28024884662256,RIC
8,266.619008984853,254.54353478121794,PER
9,173.80569236539327,162.07316170912847,PER
10,235.359676382287,222.54479115847877,PER
11,137.46711516099506,128.7868883852127,PER
12,230.26137461807326,234.37993478095237,RIC
13,203.3819635678034,179.65585491061805,PER
14,219.8184168605818,226.06157313580246,RIC
15,250.7146223436853,248.60207374661783,PER
16,265.25514614507495,269.06841898340053,RIC
17,284.8651417591446,287.61166624000003,RIC
18,174.51797878113325,145.7430299341752,PER
19,170.28878664113535,171.25630791981112,RIC
20,149.87356527971056,147.22314203594053,PER
21,176.19009748414692,156.05049366882238,PER
22,121.43119791846837,119.69869450919406,PER
23,223.9222043629201,237.26225808377825,RIC
24,270.7075739896141,275.39084062645503,RIC
