Minisector,RIC,LEC,Fastest
0,232.39772462222223,231.10433996645295,RIC
1,280.53756712281574,281.25424764100933,LEC
2,293.1590284204378,294.75971312638086,LEC
3,295.5625000727273,299.70416659393936,LEC
4,266.30168052529626,265.63970073827664,RIC
5,177.73082959327732,168.69417989153183,RIC
6,258.2998838034116,260.46866611559153,LEC
7,275.1056612753623,281.0001983105064,LEC
8,225.79412362979204,214.4655406692983,RIC
9,217.59118430755558,216.14445702030395,RIC
10,193.17470186961563,183.664006126976,RIC
11,224.57190465693122,226.0247013931973,LEC
12,209.53174125958796,199.74850272045225,RIC
13,216.84412995993432,214.1845753444992,RIC
14,225.1635975946778,217.60513045123153,RIC
15,187.27027021061656,181.19646951296977,RIC
16,247.82311877648698,248.6180541777778,LEC
17,287.53031763301584,289.39435134666,LEC
18,303.3032196848485,304.70068432761906,LEC
19,291.5667739082251,290.3466289460462,RIC
20,131.74666415965308,129.18805293997463,RIC
21,165.50575448958048,164.934710365449,RIC
22,156.61397353962928,151.00648639543513,RIC
23,207.98597629247314,202.68883057268047,RIC
24,148.2228210252227,144.53873091601733,RIC
