Minisector,SAI,HAM,Fastest
0,276.8835928085154,274.4340562678475,SAI
1,302.6746430737415,305.1213667562152,HAM
2,317.0697930890815,325.63344918874077,HAM
3,324.2004481621703,341.519265228188,HAM
4,328.8191270095238,346.2648550551805,HAM
5,328.080254436727,347.83097524395606,HAM
6,209.2008476943238,220.8613509182098,HAM
7,109.37309619887374,107.39220446414247,SAI
8,187.56453380902693,191.03689673089886,HAM
9,263.7983419643808,262.05364326780955,SAI
10,292.0476932711046,295.4315342769428,HAM
11,164.37306178382875,157.81081680510894,SAI
12,94.51707364392291,98.25110152033854,HAM
13,119.2215682414035,114.77335531435816,SAI
14,220.32746485576249,218.39771155169083,SAI
15,187.14766774498813,189.76728840131724,HAM
16,229.6274994521212,220.55644700606064,SAI
17,177.84506827621587,178.86847012689392,HAM
18,242.99488953763537,236.4634616321195,SAI
19,280.5818777848485,276.6858614480672,SAI
20,245.73921226597403,240.91885525957355,SAI
21,146.87329377246996,144.36752273763264,SAI
22,98.4550483243985,99.72589137312323,HAM
23,126.06238530649519,123.83535919330447,SAI
24,233.00310189357026,224.0759692637681,SAI
25,,255.4720514671509,HAM
