Minisector,GAS,SAI,Fastest
0,290.65192311794874,303.122000384,SAI
1,159.53220767783338,158.07269432916732,GAS
2,153.04276129317523,154.51417367795378,SAI
3,222.30913978494624,221.74091827411482,GAS
4,283.56116671699755,287.9013117085188,SAI
5,289.73904761904765,299.9351191055901,SAI
6,146.29765568166556,146.62871132698945,SAI
7,141.17949596596677,138.68249155458875,GAS
8,149.17388938809256,153.05127457474535,SAI
9,179.247765861328,172.92886727693445,GAS
10,134.8563572998248,132.4364748276457,GAS
11,130.6675700579114,126.54441211906224,GAS
12,161.125575110028,160.39214229702208,GAS
13,265.1409968315801,266.7919998186503,SAI
14,290.7210144927536,294.7708333333333,SAI
15,154.66574864071345,151.4728020108458,GAS
16,211.12410071162935,212.2659500354992,SAI
17,167.08995653941153,162.71095942978874,GAS
18,267.60500946867245,268.2256408205128,SAI
19,290.4425843809524,294.5689733142857,SAI
20,302.5915427111111,308.5904337191963,SAI
21,310.2536231884058,315.731884057971,SAI
22,314.2809028,318.03374375232676,SAI
23,315.7915715795868,323.0360660294372,SAI
24,311.9520832820513,324.3235159491336,SAI
25,,324.2916664888889,SAI
