Minisector,SAI,HAM,Fastest
0,295.1427814808768,281.8659765127806,SAI
1,319.68350222370856,297.50035806653966,SAI
2,311.9561180124224,291.1137230766497,SAI
3,182.52321266243746,182.04047501837053,SAI
4,219.09971126233768,220.73766665058199,HAM
5,207.27468899263738,207.49047500617553,HAM
6,181.5290384006173,186.37386419332995,HAM
7,209.307355575459,213.71118550422725,HAM
8,260.24458513846594,261.8612995565525,HAM
9,265.94569113756614,271.3704650811415,HAM
10,166.42375336950664,166.8462627707519,HAM
11,234.60355406995205,238.38902462330228,HAM
12,119.98650291237519,116.78194306633388,SAI
13,223.98910262185356,225.5138962890807,HAM
14,277.24446430056,276.3095274242147,SAI
15,293.5008383669841,293.70395454522367,HAM
16,219.52435010831036,210.92619220867724,SAI
17,188.31298268698413,195.0570707605002,HAM
18,265.14980911260994,266.99874377023343,HAM
19,290.9215344084656,291.5432440496626,HAM
20,299.80314982389507,301.63708750040814,HAM
21,300.44406635693406,299.6429043136508,SAI
22,282.6569635667136,249.56370348755019,SAI
23,115.7795946987663,120.47202584401393,HAM
24,234.7998277083184,239.54009928429727,HAM
