Minisector,VER,TSU,Fastest
0,301.7771343931685,305.99691068552187,TSU
1,214.00811556176623,207.17595158260872,VER
2,144.12688249738665,142.546815382986,VER
3,227.92910319200163,214.6160006643194,VER
4,171.60654869692496,164.25910324805366,VER
5,186.7380936614454,178.93969410036942,VER
6,255.70968156571428,254.50576796810861,VER
7,280.8862605115861,280.91279685188215,TSU
8,287.8089323916904,288.9985416087273,TSU
9,263.2149499957895,262.66185291851855,VER
10,252.02383141434993,246.62075856,VER
11,245.68503601142078,235.6903989392147,VER
12,210.03670053169287,197.7433060450585,VER
13,132.67976874014659,126.43988504224664,VER
14,148.8546453244398,138.31149338801688,VER
15,178.25203537151992,173.92717101355626,VER
16,249.8088551338658,250.69606253268466,TSU
17,248.15262874012285,241.2086132505397,VER
18,114.20218073061821,109.91091068432057,VER
19,202.2335788176021,198.0598069311006,VER
20,204.93176129273138,201.82126732883117,VER
21,236.04100651157842,238.68128470224312,TSU
22,267.24029722920636,266.7355280135887,VER
23,283.77851597355266,287.16526164388165,TSU
24,297.0811196133333,300.1124422526698,TSU
