Minisector,VER,BOR,Fastest
0,298.42018262692227,299.5094079049624,BOR
1,204.8656900392971,200.70969383167062,VER
2,225.43807929701032,219.59347437013332,VER
3,277.75614666795315,268.31183967723143,VER
4,245.46179213129696,239.4017250816,VER
5,127.42476463846435,124.82734838513989,VER
6,201.07517353839907,197.20911881877137,VER
7,245.15434497634232,242.7411968910053,VER
8,230.5637671540072,234.40985024298047,BOR
9,241.89540775328797,238.87102331081306,VER
10,288.35277427114454,286.13242507928305,VER
11,310.8364259349073,308.59544438526797,VER
12,321.3880384580499,318.70550472814193,VER
13,318.0160070231177,314.11905098542115,VER
14,309.0508330071509,302.1433584942356,VER
15,245.94125060880074,255.17877245582926,BOR
16,236.38224518497657,237.91224782203136,BOR
17,280.5086698497778,276.91183679307363,VER
18,290.0059026001771,286.3435832208694,VER
19,156.049223155554,151.34280766397492,VER
20,198.69583537675808,193.59384997353416,VER
21,178.2341615845516,172.22349197913414,VER
22,131.09873666240287,135.5678355427783,BOR
23,240.46034890758952,233.9764519196313,VER
24,293.7815962943358,286.69464114103437,VER
25,306.77142857142854,,VER
