Minisector,PER,ALO,Fastest
0,302.15717588148146,308.0060185481482,ALO
1,249.50503154714315,228.38077235996096,PER
2,140.8478406890479,130.66613037392537,PER
3,219.44225071637405,212.47858216589262,PER
4,265.31432513372295,258.7018711292517,PER
5,290.12499976296294,287.5036193866644,PER
6,303.66064859259257,303.2084400805426,PER
7,277.0922622678848,276.1066654933333,PER
8,185.1457819505863,170.91785912089355,PER
9,247.1452399238095,238.3635356753623,PER
10,277.0095116494623,271.8666666666667,PER
11,268.9724078943882,258.23888569774,PER
12,215.71483323733332,200.56095656296296,PER
13,134.7201892020364,121.22454856816495,PER
14,129.54633823206927,121.22758001346752,PER
15,175.24741599868082,156.31973041568628,PER
16,127.53222354636063,125.01391301515102,PER
17,232.2361063404939,221.57066666666665,PER
18,191.0186381453277,174.45947226222245,PER
19,167.4222860810545,163.20307740360425,PER
20,249.16944365714286,243.30871858058558,PER
21,276.9391696679929,273.6379073764411,PER
22,291.79421009634,294.3521358072829,ALO
23,296.8173941333333,313.1357376912414,ALO
24,300.7029411764706,326.0088625185185,ALO
25,300.3666666666667,,PER
