Minisector,VET,OCO,Fastest
0,298.0252604666667,290.98906213333333,VET
1,307.9524234122449,301.72662856666665,VET
2,172.496415550193,158.4149164001242,VET
3,231.00312512,222.0687136721885,VET
4,280.42923379237095,276.6271941904762,VET
5,298.55559032165684,297.0926820685961,VET
6,304.34000000000003,305.5030555022222,OCO
7,179.6441971047619,170.7282435879827,VET
8,133.84202368,127.33427387572782,VET
9,254.215942523465,249.79800908935502,VET
10,286.484375,286.23958319999997,VET
11,299.44973953333334,298.04305557333333,VET
12,154.04209280540087,150.19584981999571,VET
13,196.84373643395446,194.6949347451381,VET
14,264.80812266078175,261.8320406020577,VET
15,203.63405787826088,191.14279881893606,VET
16,226.58486782643362,219.15917942523993,VET
17,219.86746031746029,208.02424281212123,VET
18,250.71947786232494,241.87668486420708,VET
19,280.680638634822,276.05931356862743,VET
20,296.6306372392157,292.7049007746031,VET
21,262.20485501632356,254.09604133837107,VET
22,230.07395882666665,218.30634991746032,VET
23,206.93465856969698,203.22101430724638,VET
24,267.2186273882353,268.0341624115554,OCO
25,286.7,,VET
