Minisector,RIC,SAI,Fastest
0,266.662194076822,267.2402326192431,SAI
1,284.44008474009144,286.7000032644184,SAI
2,290.8272654565375,292.18786991531834,SAI
3,136.58839914829437,125.91529580064434,RIC
4,197.41496222475533,199.4776665324919,SAI
5,255.79140031378023,254.53487149134045,RIC
6,148.15123654006732,137.84978708572137,RIC
7,204.78798804162872,206.25525627996396,SAI
8,255.50405290741347,259.1829001587359,SAI
9,278.14128975904197,280.09364220552925,SAI
10,246.24313012098713,228.95312938476565,RIC
11,185.7411520204357,167.24474009932413,RIC
12,193.58433525393932,194.9262962514827,SAI
13,152.57864623081036,133.40290631605365,RIC
14,174.2752257659097,171.36116476593642,RIC
15,161.5752291730674,153.991891550465,RIC
16,217.89424766984126,220.4568672123792,SAI
17,234.43801563972033,224.91403991713344,RIC
18,238.6496399422952,233.6520077640962,RIC
19,246.504166933853,220.98309037089336,RIC
20,147.17752669963642,144.45711569338212,RIC
21,138.900352319121,127.75953789894632,RIC
22,171.55619959262782,169.37713580730104,RIC
23,153.45251555767769,145.04158380780808,RIC
24,226.5016974296472,229.8614768736361,SAI
25,254.95833066666665,,RIC
