Minisector,BOT,STR,Fastest
0,294.31989168818325,307.4835648592593,STR
1,297.1414357333333,301.0974217931537,STR
2,170.40572917003027,153.07500013714287,BOT
3,228.79174336397517,233.48786302608696,STR
4,276.0233602950658,290.2261904761905,STR
5,293.16980648841997,316.6211485938375,STR
6,299.24814820740744,327.1320312666667,STR
7,158.25573942992193,148.42579880902255,BOT
8,141.00400624211184,136.12256710078626,BOT
9,253.68841389192502,255.1898810920635,STR
10,285.91271893333334,295.08515243174605,STR
11,297.3010049465707,303.04511154297717,STR
12,147.25828423208281,138.1816731220899,BOT
13,206.71475423583541,206.63862123724942,BOT
14,264.7952016627354,265.2308335466667,STR
15,203.88786735238094,202.12725859767053,BOT
16,226.64516726121974,223.96857653333333,BOT
17,215.4652085333333,216.7427468154748,STR
18,246.92209523155668,249.2031746031746,STR
19,277.68329307816975,279.2313599438596,STR
20,294.15342539386756,293.9017544421053,BOT
21,262.9709750566893,259.8674602666667,BOT
22,220.62733983962588,216.44683306666667,BOT
23,213.6882331282619,211.76047638771067,BOT
24,269.2094734809778,275.11145882666665,STR
25,282.0,,BOT
