Minisector,RUS,OCO,Fastest
0,294.298249984,304.2915366777778,OCO
1,207.09914936565656,212.10291477911503,OCO
2,141.9098323661516,135.7200011888285,RUS
3,217.10415584415585,216.58252248443682,RUS
4,161.0786422002782,152.95656217658046,RUS
5,184.78537374337662,167.98179017111718,RUS
6,253.6007837171227,248.22182603174602,RUS
7,277.1544668908151,276.8336887156922,RUS
8,282.9093694335097,283.32366067142857,OCO
9,267.3787831675186,265.5215087172789,RUS
10,253.99993571676492,244.13775458580395,RUS
11,245.7747892278697,240.7921613710438,RUS
12,208.877175787961,214.48475373396303,OCO
13,134.00586306009583,134.1800048955989,OCO
14,144.63403515670302,140.90472570544776,RUS
15,177.55694822162965,175.2241254468795,RUS
16,250.54436870927103,248.02058841292614,RUS
17,231.6338289719662,243.90467987554433,OCO
18,112.53959254925012,113.85878051636364,OCO
19,203.344598043366,188.98278960430252,RUS
20,198.61701201586027,193.71736064190827,RUS
21,234.38888234240363,229.38526546609896,RUS
22,263.43168232903827,263.4409209022092,OCO
23,279.96933152999287,282.39010378,OCO
24,289.5482239494431,295.02474800223945,OCO
25,,300.0,OCO
