Minisector,TSU,RIC,Fastest
0,295.4778027701888,297.37957144990474,RIC
1,157.2813838103534,158.19422928881082,RIC
2,153.20495541022578,149.11906043333272,TSU
3,222.92390047215008,223.09986931960376,RIC
4,287.92373844821594,287.38735112380954,TSU
5,295.327999232,292.82666666666665,TSU
6,147.28599463018082,144.6847850644732,TSU
7,140.95339892558792,139.51048792990477,TSU
8,149.91375691948568,145.94108363070944,TSU
9,172.61225051730153,179.8081414768739,RIC
10,131.7164317455137,128.93793774251904,TSU
11,129.47397243263455,125.71890077681527,TSU
12,159.68945703949277,163.2318908377041,RIC
13,267.642335632201,270.48145934109345,RIC
14,292.4589507160494,291.1507504308652,TSU
15,152.43053351489363,153.67566697594575,RIC
16,207.60585556756757,213.4755448480685,RIC
17,166.59026948748615,163.43906167383756,TSU
18,271.09639486106454,270.7098765432099,TSU
19,295.0616988717949,297.0235964693198,RIC
20,308.43565750419845,309.9197722567288,RIC
21,316.40156253333333,317.83921328011985,RIC
22,319.68350697777777,319.8188405797101,RIC
23,322.48134061449275,321.6507936507937,TSU
24,321.2162525283644,320.6567708,TSU
25,318.81666666666666,317.8041674666666,TSU
