Minisector,RUS,ZHO,Fastest
0,287.78633007414646,287.99708257829485,ZHO
1,297.88356554308126,296.7718796062156,RUS
2,270.64293791492065,278.6314242266474,ZHO
3,108.9730352518624,105.76234073035629,RUS
4,217.1561518880465,218.0353152515608,ZHO
5,268.58119417918675,268.0418407146667,RUS
6,211.0730583780642,211.5167707697218,ZHO
7,159.25679642763427,157.19839122560813,RUS
8,216.98895831752776,206.90338047650735,RUS
9,219.8042824521368,211.38630029500635,RUS
10,111.77861468290442,118.20487809524268,ZHO
11,224.62309989812778,221.7891960642735,RUS
12,111.32352613092834,120.77147738011067,ZHO
13,214.7432339635108,213.9187340941848,RUS
14,273.4428390387686,269.3264980598162,RUS
15,215.01329622839003,223.13396448122668,ZHO
16,195.63637471511692,176.2249772991001,RUS
17,248.54767187936508,241.585121382196,RUS
18,199.85630137874497,212.10253866133334,ZHO
19,178.62921657482764,167.52475924258846,RUS
20,258.7858097156514,254.18834368284445,RUS
21,285.7337686067019,282.52821391109717,RUS
22,171.09029766069472,175.97210916626256,ZHO
23,212.7017653079365,194.6814431264368,RUS
24,268.7730121191526,264.8984294830257,RUS
25,281.0,280.4464281904762,RUS
