Minisector,HAM,VER,Fastest
0,285.4506841192652,279.9849867428572,HAM
1,127.68344737515659,127.33534281027954,HAM
2,154.1106397463743,162.35661157190884,VER
3,215.44130300289856,218.72664425941042,VER
4,166.18402776769588,165.08134136506837,HAM
5,247.47799335233606,238.88372037333335,HAM
6,211.08803067906865,212.12949272380953,VER
7,138.64870477688788,140.47427853227745,VER
8,235.99290615632594,234.44219336542832,HAM
9,278.94791706666666,274.34228158974895,HAM
10,287.6997537882353,282.47476706428574,HAM
11,148.6151297402242,151.7689867604874,VER
12,224.83000181333333,217.56175639619045,HAM
13,273.92879506436685,266.99566733544975,HAM
14,266.1500972783069,273.16413271172956,VER
15,100.31206810081885,104.51799205287966,VER
16,220.47194611555557,219.17784027585668,HAM
17,272.16947307699434,268.5347216592593,HAM
18,294.06824330024534,288.66053891764705,HAM
19,303.62809541079366,299.51371184217686,HAM
20,306.8998616789775,304.2572916,HAM
21,280.4473856964058,292.6187504,VER
22,154.78099421754303,160.5756512879306,VER
23,235.58134927028277,230.88579808798187,HAM
24,277.4622556235294,270.9833193596421,HAM
25,289.7833344,281.83749973333335,HAM
