Minisector,OCO,ERI,Fastest
0,284.28419855875853,284.5951243144697,ERI
1,242.36459073361263,250.17950319865471,ERI
2,267.6863896332362,269.8615266076234,ERI
3,277.6388901925926,285.71144227724864,ERI
4,128.12313930801614,129.52290445068894,ERI
5,212.648322469696,213.46770878282277,ERI
6,268.55980114115914,268.5842792253424,ERI
7,290.7140348856721,297.3654481193844,ERI
8,300.6281249333333,312.7574509626544,ERI
9,305.32232447381875,319.76186919102395,ERI
10,295.7089266934931,285.22495912817766,OCO
11,105.12265594032634,100.08400755501799,OCO
12,204.83468668116657,224.6972986580619,ERI
13,272.6195404038483,278.1071990811749,ERI
14,278.4385944497187,264.4078922433973,OCO
15,131.70119988649625,128.0941462511781,OCO
16,202.73575807373336,204.12236842178817,ERI
17,255.997346190931,259.44813298487156,ERI
18,252.83482202666664,242.2518493201406,OCO
19,240.21452777252293,242.40807837163402,ERI
20,145.4593849015126,139.6590344299113,OCO
21,188.24124987991382,195.78022521431575,ERI
22,171.52694742294076,167.93283802592885,OCO
23,182.89615913163695,186.12055228085018,ERI
24,245.9964541740676,251.7483619861378,ERI
25,272.2499968,,OCO
