Minisector,NOR,ALO,Fastest
0,295.2719551589743,299.52328707261836,ALO
1,235.635938,238.0265144577573,ALO
2,203.6941965608485,196.53617646867673,NOR
3,267.5672840691358,264.4246260825397,NOR
4,224.24637388997297,225.48455029978953,ALO
5,111.15957795674814,110.11583959917385,NOR
6,175.05242114370316,172.95846680857125,NOR
7,255.8567939152709,253.19856434022986,NOR
8,284.68501884844125,281.2247204504203,NOR
9,296.33974214060066,297.094000128,ALO
10,290.2210237805714,300.4279513777778,ALO
11,221.47600103236806,229.82495221113834,ALO
12,147.51959922906389,147.32625817388558,NOR
13,257.17844394557824,255.13213701105087,NOR
14,289.13805941807993,286.69424406391846,NOR
15,295.08437506666667,296.3211805777778,ALO
16,279.77163466666667,291.50513756628044,ALO
17,246.72416679111112,251.00735875555557,ALO
18,175.19509054127255,175.0348306133153,NOR
19,182.96009510692025,177.99991111042388,NOR
20,173.04992622105235,174.2607017714286,ALO
21,245.01822642118378,240.87654583192042,NOR
22,122.41118231808487,119.06155459626835,NOR
23,192.87863784126984,197.9489197619697,ALO
24,281.0955677707854,279.9050319464367,NOR
