Minisector,BOT,SAI,Fastest
0,295.1484610318559,300.43476364914716,SAI
1,305.5606515328321,319.8289057997321,SAI
2,310.34765022892225,327.5394736280702,SAI
3,310.77258773333335,324.0580829433584,SAI
4,211.49549333383248,189.94515432443498,BOT
5,229.60329205489566,228.41607874645598,BOT
6,273.69504044535705,271.0760028291976,BOT
7,281.28709659399584,265.6182071152497,BOT
8,199.37137114838708,192.29635287505383,BOT
9,161.20868614150945,150.01944916184507,BOT
10,194.61817808631315,192.7877033791917,BOT
11,266.00925647026065,263.4897252586755,BOT
12,260.7577906285714,245.4404175622205,BOT
13,237.92212163444353,228.3000793898713,BOT
14,279.0037876363636,274.3532327098735,BOT
15,185.98270672555935,171.34717424338623,BOT
16,228.28564732839507,220.07438624485505,BOT
17,249.7561639100539,247.02444106424812,BOT
18,143.10077933837928,137.5663043171755,BOT
19,247.8044889198157,246.67948245358468,BOT
20,285.3550862822511,283.4151852392671,BOT
21,258.94321277518713,245.39492479271473,BOT
22,153.34130679197727,144.21508978287184,BOT
23,221.4375908549671,215.74066969585436,BOT
24,277.22865217662337,275.99532358756113,BOT
25,289.52916693333333,,BOT
