Minisector,PER,OCO,Fastest
0,284.8371156675571,280.8116851749074,PER
1,137.11258716610192,144.15493356305123,OCO
2,212.6865898237825,214.4864761264814,OCO
3,285.7144837141395,277.3147905709037,PER
4,321.4968166587251,305.41287465109355,PER
5,312.78533834586466,295.87080676557076,PER
6,151.94544101113453,148.06093137095516,PER
7,241.51024802515366,231.10495314062612,PER
8,108.8171748578989,107.31760446585528,PER
9,168.20331944755338,161.46239510776596,PER
10,275.5488838537724,275.9122868609879,OCO
11,299.36444979320623,292.87024595613747,PER
12,220.28418823892025,203.2301980043122,PER
13,175.34269283016414,171.53764784546388,PER
14,277.56845453970584,277.8836825141406,OCO
15,309.29317222215155,309.0153021301587,PER
16,322.97134379824706,321.90144654922364,PER
17,331.81277454984763,328.3964706651723,PER
18,343.3265538269355,329.6582016896072,PER
19,348.28528313687076,323.6196236858252,PER
20,189.56850902996877,187.36625924011472,PER
21,174.54036497150142,184.2619938854531,OCO
22,274.89285628673366,279.97610108321993,OCO
23,308.5692319652878,311.451996874181,OCO
24,320.9127739984883,319.6479405376817,PER
25,319.0,316.0,PER
