Minisector,NOR,PIA,Fastest
0,280.3678302693428,284.1137739585327,PIA
1,297.06990300416334,300.1119387492668,PIA
2,293.6058928304762,300.98560093315194,PIA
3,179.8584346968978,167.4050234373249,NOR
4,215.85385607628862,215.21899693860263,NOR
5,202.7629560207663,194.2942704764943,NOR
6,180.8539036241903,176.56720182976142,NOR
7,202.99314155291657,200.3618644082251,NOR
8,256.06271517719415,251.5896460341073,NOR
9,269.10138423596044,261.82639944134013,NOR
10,169.66634325841218,164.44627722234014,NOR
11,238.7482314756765,235.79776691423092,NOR
12,113.33405150978051,115.75190606894964,PIA
13,218.39925474528027,217.21564216632282,NOR
14,274.3270505720146,278.8287280209078,PIA
15,292.46985029841267,294.3031664090383,PIA
16,219.43354085436752,204.7631402998454,NOR
17,185.50417932222527,176.59944393365257,NOR
18,264.4041595198984,266.33140609652077,PIA
19,290.49214803371905,292.41928271030304,PIA
20,302.25728390977446,304.5466173570695,PIA
21,301.45232782608696,304.94910222388097,PIA
22,253.3646294453928,275.133610092588,PIA
23,117.40578351800926,112.54225713739176,NOR
24,235.9542690676187,232.1860056774084,NOR
25,267.8625024,266.34285714285716,NOR
