Minisector,VER,RUS,Fastest
0,288.68017515391284,289.0042733757087,RUS
1,305.94184450569105,308.55310455151084,RUS
2,309.8872785603628,309.3297828730435,VER
3,198.8235196555884,202.6927814640645,RUS
4,235.23910436658687,236.75151752998306,RUS
5,226.421482400057,224.62053386035262,VER
6,209.84272314712481,207.04567057109364,VER
7,237.32293833120625,229.9788643759674,VER
8,272.260378195671,266.8775088556329,VER
9,275.78073869765086,277.3432524637681,RUS
10,174.1701330376568,172.7854381363861,VER
11,240.72052317836224,239.45892327147587,VER
12,117.48098553754957,111.1641201586759,VER
13,226.48933943159267,224.62052997594938,VER
14,278.9621494350914,279.92092941966143,RUS
15,293.0825899873621,295.6879933509642,RUS
16,222.5789007210604,218.2679500574752,VER
17,186.7039610511123,182.9126704360958,VER
18,268.41209670342414,268.2200490143271,VER
19,293.7964999953168,294.6961577280412,RUS
20,305.2087712879184,307.43526917160176,RUS
21,306.4350172844444,307.20164571199996,RUS
22,267.8352994813473,272.16582748018783,RUS
23,116.76530054434669,118.79888112152891,RUS
24,243.45726233913996,246.06210440402265,RUS
25,,277.0,RUS
