Minisector,VER,SAI,Fastest
0,280.7126043615638,283.6610410230303,SAI
1,291.61678321678323,295.6253430016072,SAI
2,295.77252367575755,302.7052844566225,SAI
3,292.2677972050125,296.4710566086274,SAI
4,163.71980491190502,158.02471191523955,VER
5,199.46453687739103,201.32018463661916,SAI
6,220.0264831663192,223.46757703721164,SAI
7,258.3151546554071,260.8373244618182,SAI
8,243.69983588647955,245.29087202502367,SAI
9,154.02419859000474,145.24562160211076,VER
10,217.73046449211694,217.54214377967534,VER
11,128.06225870946147,124.8688880066886,VER
12,228.43309584018144,234.6074109037037,SAI
13,170.38565360511234,166.99841686180207,VER
14,206.08154480601516,209.38718135181955,SAI
15,224.99169437814936,221.57865493333335,VER
16,254.79309614351826,251.52175166764266,VER
17,280.765125772549,283.55645742311265,SAI
18,140.56592095784535,145.94711329275864,SAI
19,161.22212289646868,159.1234550746108,VER
20,139.98255576389414,130.36179266578532,VER
21,149.05532816063905,145.80415794161289,VER
22,108.55030472421406,107.56673963202822,VER
23,216.06336578636436,214.7942949035046,VER
24,262.6701913615111,262.1715520331198,VER
25,274.7053952222577,277.1312496,SAI
