Minisector,SAI,PER,Fastest
0,298.76151966535946,311.07965694117644,PER
1,231.61889179963242,219.32751162546677,SAI
2,132.47858844578113,126.06331534359435,SAI
3,216.1162971059649,209.99139155868892,SAI
4,260.4172662716792,261.4405848430427,PER
5,285.7643292793651,287.2928467655182,PER
6,298.48905187321515,303.8977309390481,PER
7,274.47187038419753,264.03137581286546,SAI
8,169.92221360693236,168.86572211895358,SAI
9,238.89091544177776,242.7240735401777,PER
10,270.9900145954294,275.22895116140774,PER
11,262.0746925108846,259.4176806316544,SAI
12,205.2775734100585,204.90575178202897,SAI
13,121.70266545524001,117.93110423175236,SAI
14,123.72804445924206,126.44772866109953,PER
15,156.17963484075537,165.84067188402116,PER
16,121.79280532509938,123.24985937101684,PER
17,234.20951905352507,224.26444995873015,SAI
18,170.0728456295596,172.36903678033508,PER
19,160.95350315567597,165.79435940515836,PER
20,242.1667422071178,242.829916925291,PER
21,270.82825754385965,274.52755842648526,PER
22,288.95900619871753,291.37594007257053,PER
23,298.24982133714286,301.9790442048179,PER
24,303.83835964444444,306.8649934659048,PER
25,,309.43888924444445,PER
