Minisector,HAM,RUS,Fastest
0,252.42858247576717,252.93487339094725,RUS
1,217.25157350054934,212.15093334739927,HAM
2,212.23309517774064,205.63738735912833,HAM
3,261.08416411048296,260.4435881762963,HAM
4,275.7139770888312,276.1391111676939,RUS
5,293.7094388716553,292.73560493118674,HAM
6,151.71400781185832,144.69067538705139,HAM
7,184.20616730048678,182.8302717180133,HAM
8,269.1179524549184,268.8966579782742,HAM
9,299.6913661563581,296.3207416222671,HAM
10,310.90522175657327,309.45787561634927,HAM
11,307.9747932635746,309.34871464727627,RUS
12,105.72915595617403,105.44700097889465,HAM
13,195.3665001877211,190.6618274251989,HAM
14,272.59449286852293,268.91738028315285,HAM
15,296.6069083555599,295.0339867594805,HAM
16,300.0354823774892,299.46836145684654,HAM
17,188.72672719504195,186.03073585473015,HAM
18,225.6146405185185,217.39190320769842,HAM
19,272.27250077605476,271.07370996594517,HAM
20,146.72802352756494,146.06413474696342,HAM
21,148.14220210108527,144.69888592713667,HAM
22,235.27973678470863,224.72904728811594,HAM
23,236.7992801025641,250.84446299194443,RUS
24,162.07515401319512,166.8073347753978,RUS
25,,222.57999886628573,RUS
