Minisector,GAS,OCO,Fastest
0,263.3496121612694,259.68195693524035,GAS
1,250.19352138271606,239.2350978503401,GAS
2,167.52314161549512,159.31001238498462,GAS
3,247.2221110574956,245.22547953813702,GAS
4,271.39078807168056,268.56983327085715,GAS
5,189.61282177807152,186.18690517333334,GAS
6,121.87847163440168,121.09792780883846,GAS
7,160.46222984954733,153.39265866666668,GAS
8,259.0488767179487,253.83749952,GAS
9,182.83049350040494,176.13400925405406,GAS
10,183.20927619504974,175.45593605774434,GAS
11,256.40295897764344,252.25958186737037,GAS
12,247.36119677000443,233.12691719609947,GAS
13,254.44877566811815,255.94743577435898,OCO
14,282.12210054492755,283.3303046062374,OCO
15,288.2381400013223,283.8445652405797,GAS
16,148.60468532690572,145.09060187184602,GAS
17,237.75346111724755,234.28398000642542,GAS
18,281.7546369777778,280.379835832824,GAS
19,293.67348480000004,295.41739130434786,OCO
20,297.1856603291274,298.8440901108295,OCO
21,298.46539867826084,299.2295454545455,OCO
22,150.72368622900723,156.0488848373509,OCO
23,91.7586934900067,92.33932918861767,OCO
24,177.8509628377084,171.79880441335098,GAS
25,245.541664,240.96428799999998,GAS
