Minisector,ANT,LEC,Fastest
0,298.08341069942855,308.7388528035277,LEC
1,224.60580964699747,198.05772668281205,ANT
2,215.88179158349692,220.9104981228369,LEC
3,276.3720800797166,270.82514922574313,ANT
4,261.0339271732837,223.5091706221944,ANT
5,122.92872855765228,126.72344513492958,LEC
6,198.63653363633335,205.48594166320987,LEC
7,251.12956700350375,245.03546452146588,ANT
8,239.62376024324516,234.36712570495013,ANT
9,239.9801585567753,241.54589259468213,LEC
10,286.91248193593185,286.6518104060777,ANT
11,305.4735189155556,309.08084077620816,LEC
12,317.72630344536566,319.36382260035276,LEC
13,314.2719035324852,316.671898688,LEC
14,307.6294067274854,304.90154987570503,ANT
15,263.88251192226363,248.21585541949906,ANT
16,240.12924073818067,235.206384872972,ANT
17,281.1363081764182,274.8576105873578,ANT
18,288.2191182440573,278.57006920126986,ANT
19,156.87959282443512,157.4343071306843,LEC
20,200.10540591817912,198.51246746393656,ANT
21,179.5973548885397,162.9759810744488,ANT
22,130.28863841828968,141.84989491445077,LEC
23,237.2003449444953,233.2715591636927,ANT
24,285.88664082984127,292.1858399001019,LEC
