Minisector,SAI,GAS,Fastest
0,252.69485496712636,254.27018480643474,GAS
1,211.68066539647236,218.0830045678109,GAS
2,202.69096961828848,204.93475536667586,GAS
3,254.09625366627517,256.36878703312664,GAS
4,271.2286326631218,271.05985963011057,SAI
5,285.22914231248774,286.350259121552,GAS
6,166.11499661744426,165.08193657767137,SAI
7,183.64501018574714,181.0228033297587,SAI
8,262.73239175944474,266.60150609720466,GAS
9,285.1239427931164,290.3542629811371,GAS
10,295.0430817208215,300.7720591331902,GAS
11,298.2825397333333,299.6634720259302,GAS
12,120.11923981043573,111.80927049288708,SAI
13,183.89189930982565,197.09026541045347,GAS
14,266.1469484637723,271.68416373430114,GAS
15,288.7437474306851,293.6102425063704,GAS
16,297.27366703731053,299.20152575371554,GAS
17,187.39520545432023,184.6490151895622,SAI
18,220.70269026483544,227.08197607376945,GAS
19,266.5314495984271,268.935810624895,GAS
20,159.58813070775454,150.5895507788789,SAI
21,151.06777138372422,145.63681328589794,SAI
22,218.88142173864776,223.95206702543234,GAS
23,239.57728549086067,220.072638652465,SAI
24,156.17952892663885,160.3676358336978,GAS
25,225.3697412465257,,SAI
