Minisector,NOR,PER,Fastest
0,290.6380358552381,287.9746965985351,NOR
1,297.64702360560227,293.467695421188,NOR
2,165.39411626666669,169.07327114761904,PER
3,217.93469534943802,220.25610660935158,PER
4,273.72312544,270.6829971716344,NOR
5,293.17999343068783,291.78981481481486,NOR
6,295.83032397037033,300.40661586715436,PER
7,189.05301535632185,181.32442096790484,NOR
8,116.37055630222221,120.39055835417025,PER
9,247.47510855064937,245.6687074829932,NOR
10,285.97278829072684,281.7488184943924,NOR
11,296.9657406814815,293.2737594536331,NOR
12,153.27422991123552,157.67200923597915,PER
13,180.44166783999998,186.76237359597536,PER
14,255.2108674330381,254.15338524631042,NOR
15,206.160141221978,211.4956775765769,PER
16,216.28611146666665,215.048,NOR
17,218.7133708006604,217.75083810463482,NOR
18,243.0406931878788,242.7775359536232,NOR
19,275.6568346022166,275.27085881276565,NOR
20,292.5335649185185,289.7780700631579,NOR
21,270.1602374552381,268.42229168,NOR
22,228.47851952268755,227.22214470579252,NOR
23,200.30163213544972,204.82554715327328,PER
24,264.45360105568346,260.23312490666666,NOR
25,,280.1541664,PER
