Minisector,VET,GAS,Fastest
0,276.2537085399324,267.9856342405211,VET
1,294.80658435534974,285.6338365947584,VET
2,300.62896361059313,292.84782571226924,VET
3,133.24351528974472,126.61508501971278,VET
4,198.5633762311766,194.35389247042076,VET
5,263.19203767600266,253.16402154279558,VET
6,143.46360931992947,139.41831244862283,VET
7,209.73292160269392,203.8152968679089,VET
8,265.8100683637724,257.8039887227701,VET
9,284.9473814136178,278.25416634074077,VET
10,241.8411497892633,224.81139217766008,VET
11,183.665357923579,179.04898627204136,VET
12,192.45105927723824,193.3281836307066,GAS
13,145.91956346712004,144.60655034689344,VET
14,176.59028013336248,172.4842667916785,VET
15,161.69230271274958,156.23546522640922,VET
16,218.00444311267276,217.96353165674026,VET
17,236.82664662961696,228.96735651367865,VET
18,239.82633795342562,233.34625297277793,VET
19,249.4122396102248,233.8573321326641,VET
20,142.34309587290016,146.21177034183052,GAS
21,139.06647638737095,132.72135474826763,VET
22,168.86321195570684,172.37636683445288,GAS
23,151.02930861308178,149.48475091198443,VET
24,232.822280406797,227.55137713263366,VET
25,262.32142628571427,,VET
