Minisector,PER,ALO,Fastest
0,250.63803089972313,253.5076335395918,ALO
1,128.70575894398368,121.72490130407127,PER
2,257.54031985401554,257.3421286236125,PER
3,297.80522379792586,303.60898271067845,ALO
4,295.85741710512474,302.61839894456654,ALO
5,304.7141858105983,307.44791659259255,ALO
6,310.01573959969863,310.02517529757665,ALO
7,310.2651707821906,309.0062265965958,PER
8,188.48116602081768,185.84617186997752,PER
9,192.31042137657306,188.76778406120823,PER
10,187.45751190266375,172.0624140104735,PER
11,169.1812352451723,172.01270779223077,ALO
12,249.30527602333666,256.01573770666664,ALO
13,270.2669237794264,273.3429874917899,ALO
14,272.1485861237732,277.37380228295234,ALO
15,271.610202799093,268.7237548523174,PER
16,180.50124567609686,180.24929835397188,PER
17,177.98300647786624,183.4153414374603,ALO
18,231.9004931276551,234.2436658935238,ALO
19,283.9648265358824,285.4143850542945,ALO
20,305.90274386879406,307.52298270650857,ALO
21,313.87750630468133,314.5715469818093,ALO
22,315.06290749655676,313.07003716285715,PER
23,258.75953294863103,247.98645416654162,PER
24,113.78669154201681,105.13826810506589,PER
