Minisector,LAW,ALO,Fastest
0,317.16313094276336,319.47064567617963,ALO
1,313.3707730690909,322.8364601234286,ALO
2,166.25187647728677,181.5941408181406,ALO
3,159.1767163019174,147.78999402764978,LAW
4,197.16467117894973,202.8705990849623,ALO
5,147.50750669025004,145.54421469569644,LAW
6,200.99334337413865,194.57108358687628,LAW
7,271.62480112818946,263.24818906890755,LAW
8,292.41948953641736,284.5064890971429,LAW
9,286.0664060286731,277.18258975108387,LAW
10,235.7208032036281,231.35251321263158,LAW
11,240.07637108627725,233.82344937172542,LAW
12,213.95841321094426,213.13000426798195,LAW
13,175.78965877846076,193.22066104137141,ALO
14,139.6300307889324,136.73752002499512,LAW
15,130.58571116317378,133.2381791193895,ALO
16,204.01776017734323,170.83303230820277,LAW
17,267.7773602329283,252.3194540737437,LAW
18,192.0127004893773,265.7578946694737,ALO
19,114.12881383527869,118.30522951201696,ALO
20,206.8351206115601,171.93500833133092,LAW
21,181.48328624322036,185.43980919973822,ALO
22,252.70908634030974,206.73311564912282,LAW
23,278.6427670418638,263.025723208289,LAW
24,305.11190580981685,292.6131626668527,LAW
25,314.42916693333336,305.70729205333333,LAW
